source,class,sample_id,x,y
real_clean,Normal,0,-8.076690673828125,-4.4039812088012695
real_clean,Normal,1,-5.558608055114746,-3.041919231414795
real_clean,Normal,2,-7.268996238708496,-3.6524033546447754
real_clean,Normal,3,-2.251878499984741,-3.5451996326446533
real_clean,Normal,4,-5.8076605796813965,-4.347620964050293
real_clean,Normal,5,-5.086161136627197,-4.647818088531494
real_clean,Normal,6,-5.1102423667907715,-2.7118611335754395
real_clean,Normal,7,-5.7618279457092285,-2.7671077251434326
real_clean,Normal,8,-7.286785125732422,-4.382783889770508
real_clean,Normal,9,-6.062549114227295,-4.0144476890563965
real_clean,Normal,10,-7.4503655433654785,-3.3791568279266357
real_clean,Normal,11,-7.483254909515381,-3.5978682041168213
real_clean,Normal,12,-7.401179313659668,-4.142232894897461
real_clean,Normal,13,-6.290839672088623,-3.3401825428009033
real_clean,Normal,14,-5.241206169128418,-3.0539610385894775
real_clean,Normal,15,-4.819046497344971,-4.066831588745117
real_clean,Normal,16,-6.545201301574707,-3.717552423477173
real_clean,Normal,17,-4.237427711486816,-3.0575613975524902
real_clean,Normal,18,-5.495063781738281,-4.396026611328125
real_clean,Normal,19,-7.287827014923096,-3.1736745834350586
real_clean,Normal,20,-6.8319597244262695,-2.3967912197113037
real_clean,Normal,21,-6.364144325256348,-5.121261119842529
real_clean,Normal,22,-6.147242069244385,-5.692246913909912
real_clean,Normal,23,-5.1534905433654785,-5.277184963226318
real_clean,Normal,24,-6.75783109664917,-5.443793773651123
real_clean,Normal,25,-6.50050163269043,-3.592278242111206
real_clean,Normal,26,-7.569857597351074,-3.7841715812683105
real_clean,Normal,27,-5.85908317565918,-3.5252065658569336
real_clean,Normal,28,-7.7892045974731445,-4.81293249130249
real_clean,Normal,29,-5.097644329071045,-4.482853889465332
real_clean,STEMI,30,-4.740673065185547,-2.1066834926605225
real_clean,STEMI,31,-5.437481880187988,-2.8516194820404053
real_clean,STEMI,32,-5.130948066711426,-1.004747748374939
real_clean,STEMI,33,-6.645660400390625,-3.0126776695251465
real_clean,STEMI,34,-5.785658359527588,-4.19532585144043
real_clean,STEMI,35,-6.013918399810791,-2.3132708072662354
real_clean,STEMI,36,-5.090616703033447,-3.4289422035217285
real_clean,STEMI,37,-8.648581504821777,-4.2882609367370605
real_clean,STEMI,38,-7.015769958496094,-4.265833854675293
real_clean,STEMI,39,-8.546737670898438,-3.9604592323303223
real_clean,STEMI,40,-7.793470859527588,-2.0747175216674805
real_clean,STEMI,41,-7.049289226531982,-3.1172287464141846
real_clean,STEMI,42,-8.968559265136719,-3.178842782974243
real_clean,STEMI,43,-6.15044641494751,-0.20309525728225708
real_clean,STEMI,44,-5.16988468170166,-0.6276392340660095
real_clean,STEMI,45,-8.155447006225586,-1.8798625469207764
real_clean,STEMI,46,-7.804839611053467,-1.669712781906128
real_clean,STEMI,47,-7.115294456481934,-3.57448410987854
real_clean,STEMI,48,-6.609433650970459,-4.321774482727051
real_clean,STEMI,49,-6.383387088775635,-1.226692795753479
real_clean,STEMI,50,-7.638369083404541,-2.483888864517212
real_clean,STEMI,51,-6.582825183868408,-2.036842107772827
real_clean,STEMI,52,-7.035453796386719,-1.7991586923599243
real_clean,STEMI,53,-7.6688995361328125,-2.5118250846862793
real_clean,STEMI,54,-7.6909589767456055,-0.5900794863700867
real_clean,STEMI,55,-6.066671371459961,0.19254939258098602
real_clean,STEMI,56,-5.975379943847656,-3.1993985176086426
real_clean,STEMI,57,-5.7126922607421875,-0.7204617261886597
real_clean,STEMI,58,-7.752000331878662,-2.875526189804077
real_clean,STEMI,59,-5.813567161560059,-0.4548991024494171
real_clean,NSTEMI,60,-4.463068962097168,0.4453533887863159
real_clean,NSTEMI,61,-5.509359359741211,-0.9475411176681519
real_clean,NSTEMI,62,-5.275741100311279,-2.5067834854125977
real_clean,NSTEMI,63,-6.162136077880859,-1.0329307317733765
real_clean,NSTEMI,64,-4.384226322174072,-0.5131740570068359
real_clean,NSTEMI,65,-3.28947114944458,-2.3358442783355713
real_clean,NSTEMI,66,-4.915468215942383,-0.6706413626670837
real_clean,NSTEMI,67,-6.074829578399658,-1.9266237020492554
real_clean,NSTEMI,68,-4.049658298492432,-2.807304859161377
real_clean,NSTEMI,69,-3.982996940612793,-0.7533323764801025
real_clean,NSTEMI,70,-8.618213653564453,-1.8665279150009155
real_clean,NSTEMI,71,-4.513026237487793,-0.37603121995925903
real_clean,NSTEMI,72,-6.504386901855469,-2.122556209564209
real_clean,NSTEMI,73,-2.475327491760254,0.016625752672553062
real_clean,NSTEMI,74,-5.472778797149658,-2.246305465698242
real_clean,NSTEMI,75,-5.001731872558594,-0.5405762195587158
real_clean,NSTEMI,76,0.19280095398426056,-0.9706106185913086
real_clean,NSTEMI,77,-3.2519404888153076,0.2390981912612915
real_clean,NSTEMI,78,-0.2269551157951355,-3.771436929702759
real_clean,NSTEMI,79,-7.386774063110352,-0.5939381718635559
real_clean,NSTEMI,80,-4.750865936279297,-0.914306640625
real_clean,NSTEMI,81,-0.27857500314712524,2.688798666000366
real_clean,NSTEMI,82,-6.02092981338501,-0.09757117927074432
real_clean,NSTEMI,83,-1.1627202033996582,-0.3786272704601288
real_clean,NSTEMI,84,-6.851147174835205,-1.0499320030212402
real_clean,NSTEMI,85,-3.56909441947937,0.10332378000020981
real_clean,NSTEMI,86,-5.89163064956665,-0.31842342019081116
real_clean,NSTEMI,87,-6.951876640319824,-0.6321902275085449
real_clean,NSTEMI,88,-5.551320552825928,1.2402327060699463
real_clean,NSTEMI,89,-6.233943939208984,-1.612844705581665
real_clean,AFIB,90,-0.8816390037536621,2.0032126903533936
real_clean,AFIB,91,-1.966718077659607,2.6903159618377686
real_clean,AFIB,92,-1.6614834070205688,3.3713767528533936
real_clean,AFIB,93,-2.6043026447296143,3.104701280593872
real_clean,AFIB,94,-2.3812851905822754,2.931796073913574
real_clean,AFIB,95,-5.959311008453369,-0.18962334096431732
real_clean,AFIB,96,-4.716840744018555,1.031162142753601
real_clean,AFIB,97,-3.8763394355773926,0.8035730719566345
real_clean,AFIB,98,-4.03300666809082,0.8725318312644958
real_clean,AFIB,99,0.8005034923553467,1.8636677265167236
real_clean,AFIB,100,-1.7628264427185059,0.2342572957277298
real_clean,AFIB,101,-4.547544002532959,0.8864879608154297
real_clean,AFIB,102,-7.659704208374023,-1.1691381931304932
real_clean,AFIB,103,-4.182229518890381,-0.41667839884757996
real_clean,AFIB,104,-5.714590072631836,-0.3033900856971741
real_clean,AFIB,105,-1.5735316276550293,2.1491568088531494
real_clean,AFIB,106,0.2432006448507309,1.1712472438812256
real_clean,AFIB,107,-7.484561920166016,-1.0314844846725464
real_clean,AFIB,108,-5.399191379547119,0.28131192922592163
real_clean,AFIB,109,-4.372176647186279,0.13993795216083527
real_clean,AFIB,110,-6.516336917877197,-0.30144524574279785
real_clean,AFIB,111,-4.7063493728637695,0.17228682339191437
real_clean,AFIB,112,-4.963617324829102,-0.3256555497646332
real_clean,AFIB,113,-5.4815568923950195,-0.26715582609176636
real_clean,AFIB,114,-6.115774154663086,-0.7025293707847595
real_clean,AFIB,115,-5.441864013671875,-0.7157379388809204
real_clean,AFIB,116,-2.5085108280181885,1.6192818880081177
real_clean,AFIB,117,-5.868891716003418,-0.20964846014976501
real_clean,AFIB,118,-6.409028053283691,0.387046217918396
real_clean,AFIB,119,-6.5347208976745605,-0.2837699055671692
noise_sigma_0.25,Normal,0,-3.5341579914093018,1.7321853637695312
noise_sigma_0.25,Normal,1,-2.4994399547576904,1.2173988819122314
noise_sigma_0.25,Normal,2,-3.2153055667877197,1.7412285804748535
noise_sigma_0.25,Normal,3,-0.5825702548027039,-0.918779730796814
noise_sigma_0.25,Normal,4,-2.3117759227752686,1.3072962760925293
noise_sigma_0.25,Normal,5,-1.9161522388458252,0.62007075548172
noise_sigma_0.25,Normal,6,-1.6517127752304077,1.7615509033203125
noise_sigma_0.25,Normal,7,-2.069943428039551,1.3877354860305786
noise_sigma_0.25,Normal,8,-3.150317430496216,1.5724546909332275
noise_sigma_0.25,Normal,9,-2.942487955093384,0.3884032368659973
noise_sigma_0.25,Normal,10,-3.069457530975342,1.5870693922042847
noise_sigma_0.25,Normal,11,-2.9558188915252686,2.0137267112731934
noise_sigma_0.25,Normal,12,-3.563721179962158,1.7224128246307373
noise_sigma_0.25,Normal,13,-2.574477195739746,1.3018234968185425
noise_sigma_0.25,Normal,14,-1.7509374618530273,0.7451723217964172
noise_sigma_0.25,Normal,15,-1.934220552444458,0.44783997535705566
noise_sigma_0.25,Normal,16,-2.7114152908325195,1.1823261976242065
noise_sigma_0.25,Normal,17,-1.6648011207580566,0.4466898441314697
noise_sigma_0.25,Normal,18,-1.6046874523162842,0.8873898386955261
noise_sigma_0.25,Normal,19,-3.269351005554199,1.7845097780227661
noise_sigma_0.25,Normal,20,-3.0882906913757324,1.9709304571151733
noise_sigma_0.25,Normal,21,-2.463026762008667,1.0911508798599243
noise_sigma_0.25,Normal,22,-2.339179277420044,0.6184482574462891
noise_sigma_0.25,Normal,23,-1.6817727088928223,-0.014409875497221947
noise_sigma_0.25,Normal,24,-2.4977529048919678,1.2218565940856934
noise_sigma_0.25,Normal,25,-2.9373021125793457,1.3300576210021973
noise_sigma_0.25,Normal,26,-3.372701406478882,1.7249550819396973
noise_sigma_0.25,Normal,27,-2.3957676887512207,0.9822286367416382
noise_sigma_0.25,Normal,28,-3.470156192779541,1.3191019296646118
noise_sigma_0.25,Normal,29,-1.5601110458374023,0.20135822892189026
noise_sigma_0.25,STEMI,30,-2.2667994499206543,0.5633975267410278
noise_sigma_0.25,STEMI,31,-1.9232392311096191,1.7086716890335083
noise_sigma_0.25,STEMI,32,-2.569185733795166,1.4427772760391235
noise_sigma_0.25,STEMI,33,-3.321317434310913,1.495686650276184
noise_sigma_0.25,STEMI,34,-2.4113969802856445,0.613825798034668
noise_sigma_0.25,STEMI,35,-2.34877872467041,2.178035259246826
noise_sigma_0.25,STEMI,36,-2.2975616455078125,0.8308972120285034
noise_sigma_0.25,STEMI,37,-3.639644145965576,1.789891004562378
noise_sigma_0.25,STEMI,38,-2.7268106937408447,1.6014567613601685
noise_sigma_0.25,STEMI,39,-4.144159317016602,2.3298392295837402
noise_sigma_0.25,STEMI,40,-3.6850364208221436,2.3250250816345215
noise_sigma_0.25,STEMI,41,-2.9378957748413086,1.7647030353546143
noise_sigma_0.25,STEMI,42,-3.859678030014038,2.3720028400421143
noise_sigma_0.25,STEMI,43,-2.6413652896881104,2.315833330154419
noise_sigma_0.25,STEMI,44,-1.2418886423110962,2.252681255340576
noise_sigma_0.25,STEMI,45,-3.331631898880005,2.5476267337799072
noise_sigma_0.25,STEMI,46,-3.33040189743042,2.106447696685791
noise_sigma_0.25,STEMI,47,-2.9627773761749268,1.1782690286636353
noise_sigma_0.25,STEMI,48,-2.3922793865203857,1.38178288936615
noise_sigma_0.25,STEMI,49,-2.2300682067871094,1.947723388671875
noise_sigma_0.25,STEMI,50,-3.0834736824035645,2.2786643505096436
noise_sigma_0.25,STEMI,51,-2.9705777168273926,1.714231252670288
noise_sigma_0.25,STEMI,52,-2.355778694152832,2.366403341293335
noise_sigma_0.25,STEMI,53,-3.4145729541778564,2.3932950496673584
noise_sigma_0.25,STEMI,54,-3.5448598861694336,2.607818365097046
noise_sigma_0.25,STEMI,55,-3.155315399169922,2.231982469558716
noise_sigma_0.25,STEMI,56,-2.21484112739563,1.2730166912078857
noise_sigma_0.25,STEMI,57,-1.6565849781036377,2.7704005241394043
noise_sigma_0.25,STEMI,58,-2.938194513320923,1.9860349893569946
noise_sigma_0.25,STEMI,59,-2.456895112991333,1.9535784721374512
noise_sigma_0.25,NSTEMI,60,-1.1406950950622559,2.1422622203826904
noise_sigma_0.25,NSTEMI,61,-2.517932176589966,1.7585642337799072
noise_sigma_0.25,NSTEMI,62,-1.9122700691223145,1.5726017951965332
noise_sigma_0.25,NSTEMI,63,-2.231156826019287,1.879387378692627
noise_sigma_0.25,NSTEMI,64,-0.6188229322433472,2.042478561401367
noise_sigma_0.25,NSTEMI,65,-0.18705880641937256,1.0215989351272583
noise_sigma_0.25,NSTEMI,66,-1.4401298761367798,2.4571480751037598
noise_sigma_0.25,NSTEMI,67,-2.021284580230713,1.7637890577316284
noise_sigma_0.25,NSTEMI,68,-0.8700224757194519,1.0719263553619385
noise_sigma_0.25,NSTEMI,69,-1.301684021949768,1.705963373184204
noise_sigma_0.25,NSTEMI,70,-4.118176460266113,2.505044937133789
noise_sigma_0.25,NSTEMI,71,-1.2068521976470947,2.0048696994781494
noise_sigma_0.25,NSTEMI,72,-2.656015157699585,1.905694603919983
noise_sigma_0.25,NSTEMI,73,-0.3006625473499298,1.7021472454071045
noise_sigma_0.25,NSTEMI,74,-1.791933536529541,1.1630995273590088
noise_sigma_0.25,NSTEMI,75,-1.9269193410873413,2.096717119216919
noise_sigma_0.25,NSTEMI,76,3.141497850418091,1.0768131017684937
noise_sigma_0.25,NSTEMI,77,-0.6194369196891785,1.8047536611557007
noise_sigma_0.25,NSTEMI,78,2.657331943511963,-1.1924318075180054
noise_sigma_0.25,NSTEMI,79,-3.187321662902832,2.238395929336548
noise_sigma_0.25,NSTEMI,80,-1.8181462287902832,1.4694472551345825
noise_sigma_0.25,NSTEMI,81,1.2431775331497192,2.2725138664245605
noise_sigma_0.25,NSTEMI,82,-2.391918897628784,2.0996365547180176
noise_sigma_0.25,NSTEMI,83,0.6742122173309326,0.8904283046722412
noise_sigma_0.25,NSTEMI,84,-2.7263972759246826,2.5564346313476562
noise_sigma_0.25,NSTEMI,85,-1.131065011024475,1.8799419403076172
noise_sigma_0.25,NSTEMI,86,-2.790363311767578,2.044389247894287
noise_sigma_0.25,NSTEMI,87,-3.687410593032837,1.803694486618042
noise_sigma_0.25,NSTEMI,88,-2.472691059112549,2.3829503059387207
noise_sigma_0.25,NSTEMI,89,-2.672952175140381,1.8064241409301758
noise_sigma_0.25,AFIB,90,0.8030144572257996,2.2121527194976807
noise_sigma_0.25,AFIB,91,-0.27073609828948975,2.9774515628814697
noise_sigma_0.25,AFIB,92,0.635807454586029,3.2477900981903076
noise_sigma_0.25,AFIB,93,0.17755290865898132,3.273253917694092
noise_sigma_0.25,AFIB,94,-0.02199479378759861,2.8713538646698
noise_sigma_0.25,AFIB,95,-2.3023345470428467,2.502498149871826
noise_sigma_0.25,AFIB,96,-2.3741304874420166,1.8885018825531006
noise_sigma_0.25,AFIB,97,-1.7419779300689697,2.133873224258423
noise_sigma_0.25,AFIB,98,-0.2594536542892456,2.7582614421844482
noise_sigma_0.25,AFIB,99,1.5963084697723389,2.249748706817627
noise_sigma_0.25,AFIB,100,0.7366829514503479,1.3631938695907593
noise_sigma_0.25,AFIB,101,-1.1707608699798584,2.5803892612457275
noise_sigma_0.25,AFIB,102,-3.0095386505126953,2.51011323928833
noise_sigma_0.25,AFIB,103,-1.3134938478469849,1.7729294300079346
noise_sigma_0.25,AFIB,104,-2.4866764545440674,2.308976888656616
noise_sigma_0.25,AFIB,105,0.6767798066139221,2.3834075927734375
noise_sigma_0.25,AFIB,106,1.808884859085083,2.0194644927978516
noise_sigma_0.25,AFIB,107,-3.33538818359375,2.1565277576446533
noise_sigma_0.25,AFIB,108,-2.2874228954315186,2.2340219020843506
noise_sigma_0.25,AFIB,109,-1.5695503950119019,2.324303388595581
noise_sigma_0.25,AFIB,110,-3.1019835472106934,2.3141732215881348
noise_sigma_0.25,AFIB,111,-1.8400959968566895,2.184798240661621
noise_sigma_0.25,AFIB,112,-1.6486003398895264,2.0852508544921875
noise_sigma_0.25,AFIB,113,-2.1400160789489746,1.4322422742843628
noise_sigma_0.25,AFIB,114,-3.1046249866485596,1.9966646432876587
noise_sigma_0.25,AFIB,115,-2.3894553184509277,1.4237653017044067
noise_sigma_0.25,AFIB,116,-0.7467857003211975,2.127060651779175
noise_sigma_0.25,AFIB,117,-2.717745542526245,2.129443645477295
noise_sigma_0.25,AFIB,118,-3.1336634159088135,2.0068211555480957
noise_sigma_0.25,AFIB,119,-3.5024752616882324,1.9258838891983032
noise_sigma_0.5,Normal,0,-0.037599120289087296,1.5800843238830566
noise_sigma_0.5,Normal,1,0.6353267431259155,0.9476694464683533
